,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-06-10,175.620017860647,152.77851128735307,200.71395800161022,175.620017860647,175.620017860647,0.4966110693428026,0.4966110693428026,0.4966110693428026,0.4966110693428026,0.4966110693428026,0.4966110693428026,0.0,0.0,0.0,176.11662892998982
1,2022-06-13,177.68921287332452,151.8660714205154,201.37429878195744,177.68921287332452,177.68921287332452,-1.9399085858323284,-1.9399085858323284,-1.9399085858323284,-1.9399085858323284,-1.9399085858323284,-1.9399085858323284,0.0,0.0,0.0,175.74930428749218
2,2022-06-14,178.37894454421703,148.61721525248146,199.46984274904153,178.37894454421703,178.37894454421703,-4.249491327215426,-4.249491327215426,-4.249491327215426,-4.249491327215426,-4.249491327215426,-4.249491327215426,0.0,0.0,0.0,174.1294532170016
3,2022-06-15,179.06867621510952,154.2074487569601,202.70183908585776,179.06867621510952,179.06867621510952,-1.3800496335042216,-1.3800496335042216,-1.3800496335042216,-1.3800496335042216,-1.3800496335042216,-1.3800496335042216,0.0,0.0,0.0,177.6886265816053
4,2022-06-16,179.75840788600203,153.958101268436,204.95628620632766,179.75840788600203,179.75840788600203,0.04957983153341573,0.04957983153341573,0.04957983153341573,0.04957983153341573,0.04957983153341573,0.04957983153341573,0.0,0.0,0.0,179.80798771753544
5,2022-06-17,180.44813955689455,155.6069400606937,205.1215162777531,180.44813955689455,180.44813955689455,0.4966110693440806,0.4966110693440806,0.4966110693440806,0.4966110693440806,0.4966110693440806,0.4966110693440806,0.0,0.0,0.0,180.94475062623863
6,2022-06-21,183.20706624046454,153.91487954227358,201.74145664882843,183.20706624046454,183.20706624046454,-4.2494913272145896,-4.2494913272145896,-4.2494913272145896,-4.2494913272145896,-4.2494913272145896,-4.2494913272145896,0.0,0.0,0.0,178.95757491324994
7,2022-06-22,183.89679791135705,158.13343657411767,207.77262149495317,183.89679791135705,183.89679791135705,-1.3800496335143326,-1.3800496335143326,-1.3800496335143326,-1.3800496335143326,-1.3800496335143326,-1.3800496335143326,0.0,0.0,0.0,182.5167482778427
8,2022-06-23,184.58652958224954,161.73984397196142,209.20693421586034,184.58652958224954,184.58652958224954,0.049579831533476115,0.049579831533476115,0.049579831533476115,0.049579831533476115,0.049579831533476115,0.049579831533476115,0.0,0.0,0.0,184.636109413783
9,2022-06-24,185.27626124374456,162.22569023646173,208.49562470955766,185.27626124374456,185.27626124374456,0.496611069345505,0.496611069345505,0.496611069345505,0.496611069345505,0.496611069345505,0.496611069345505,0.0,0.0,0.0,185.77287231309006
10,2022-06-27,187.34545622822958,157.71159743296013,209.94385593957293,187.34545622822958,187.34545622822958,-1.9399085858403577,-1.9399085858403577,-1.9399085858403577,-1.9399085858403577,-1.9399085858403577,-1.9399085858403577,0.0,0.0,0.0,185.40554764238922
11,2022-06-28,188.03518788972457,160.8366937838373,208.33858812745945,188.03518788972457,188.03518788972457,-4.249491327213713,-4.249491327213713,-4.249491327213713,-4.249491327213713,-4.249491327213713,-4.249491327213713,0.0,0.0,0.0,183.78569656251085
12,2022-06-29,188.72491955121959,162.0776076945167,210.92677083164736,188.72491955121959,188.72491955121959,-1.3800496335121304,-1.3800496335121304,-1.3800496335121304,-1.3800496335121304,-1.3800496335121304,-1.3800496335121304,0.0,0.0,0.0,187.34486991770746
13,2022-06-30,189.41465121271457,165.14433373072845,215.33065831786524,189.41465121271457,189.41465121271457,0.04957983153361804,0.04957983153361804,0.04957983153361804,0.04957983153361804,0.04957983153361804,0.04957983153361804,0.0,0.0,0.0,189.46423104424818
14,2022-07-01,190.1043828742096,163.90237734668457,215.9969292878627,190.1043828742096,190.1043828742096,0.49661106934693033,0.49661106934693033,0.49661106934693033,0.49661106934693033,0.49661106934693033,0.49661106934693033,0.0,0.0,0.0,190.60099394355652
15,2022-07-05,192.8633095201896,166.24008977678847,213.90928061205932,192.8633095201896,192.8633095201896,-4.249491327212856,-4.249491327212856,-4.249491327212856,-4.249491327212856,-4.249491327212856,-4.249491327212856,0.0,0.0,0.0,188.61381819297674
16,2022-07-06,193.55304118168462,165.82335724395168,214.87019399687713,193.55304118168462,193.55304118168462,-1.380049633509928,-1.380049633509928,-1.380049633509928,-1.380049633509928,-1.380049633509928,-1.380049633509928,0.0,0.0,0.0,192.17299154817468
17,2022-07-07,194.24277283097194,168.83795592841201,218.74809627143568,194.24277283097194,194.24277283097194,0.049579831533678426,0.049579831533678426,0.049579831533678426,0.049579831533678426,0.049579831533678426,0.049579831533678426,0.0,0.0,0.0,194.29235266250564
18,2022-07-08,194.93250448025924,172.48582504234147,222.636609478006,194.93250448025924,194.93250448025924,0.4966110693483545,0.4966110693483545,0.4966110693483545,0.4966110693483545,0.4966110693483545,0.4966110693483545,0.0,0.0,0.0,195.4291155496076
19,2022-07-11,197.00169942812119,172.01951120332168,216.4838782204643,197.00169942812119,197.00169942812119,-1.939908585826287,-1.939908585826287,-1.939908585826287,-1.939908585826287,-1.939908585826287,-1.939908585826287,0.0,0.0,0.0,195.0617908422949
20,2022-07-12,197.69143107740848,169.049688177432,217.79541200820552,197.69143107740848,197.69143107740848,-4.249491327211999,-4.249491327211999,-4.249491327211999,-4.249491327211999,-4.249491327211999,-4.249491327211999,0.0,0.0,0.0,193.44193975019647
